"id","chatroom_uid","sender_uid","msg_uid","msg_type","msg_subtype","msg_type_name","msg_content","msg_week","start_end_flag","create_timestamp","create_datetime","create_dow"
6,"20644756264@chatroom","wxid_nqr30ayn71fk12",5069291002016710850,"49","53","接龙","#接龙
4.14 周五 SU 8-11 p.m 
打球地址: Su Badminton club 170 Shields Court
每场限制人数14位，从第15位开始进入waitlist！
周四晚上8⃣️点之后不可退接龙 如果有事🐦🐦 仍需付钱或转给别人 谢谢

此群费用为AA， 每场结束后算钱，费用约为10-12刀，转账邮箱： 846681622@qq.com

☀️请大家自觉按照报名人数和时间
☀️非会员要额外支付$3(直接支付给su前台)

‼️开车的朋友们请大家切记把车停在unit 1指定停车位,停在unit 2 车位有可能会被拖车

1. Helen","2023-15",1,1681084801,"2023-04-09 20:00:01",7
7,"20644756264@chatroom","wxid_nqr30ayn71fk12",4413492259944341100,"49","53","接龙","#接龙
4.14 周五 SU 8-11 p.m 
打球地址: Su Badminton club 170 Shields Court
每场限制人数14位，从第15位开始进入waitlist！
周四晚上8⃣️点之后不可退接龙 如果有事🐦🐦 仍需付钱或转给别人 谢谢

此群费用为AA， 每场结束后算钱，费用约为10-12刀，转账邮箱： 846681622@qq.com

☀️请大家自觉按照报名人数和时间
☀️非会员要额外支付$3(直接支付给su前台)

‼️开车的朋友们请大家切记把车停在unit 1指定停车位,停在unit 2 车位有可能会被拖车

1. Helen
2. Helen +1","2023-15",0,1681084809,"2023-04-09 20:00:09",7
8,"20644756264@chatroom","Why398106",764958806796718839,"49","53","接龙","#接龙
4.14 周五 SU 8-11 p.m 
打球地址: Su Badminton club 170 Shields Court
每场限制人数14位，从第15位开始进入waitlist！
周四晚上8⃣️点之后不可退接龙 如果有事🐦🐦 仍需付钱或转给别人 谢谢

此群费用为AA， 每场结束后算钱，费用约为10-12刀，转账邮箱： 846681622@qq.com

☀️请大家自觉按照报名人数和时间
☀️非会员要额外支付$3(直接支付给su前台)

‼️开车的朋友们请大家切记把车停在unit 1指定停车位,停在unit 2 车位有可能会被拖车

1. Helen
2. Helen +1
3. Huiyi
4. Huiyi +1","2023-15",0,1681084832,"2023-04-09 20:00:32",7
9,"20644756264@chatroom","wxid_qebxqia6rfci21",4922620395698049116,"49","53","接龙","#接龙
4.14 周五 SU 8-11 p.m 
打球地址: Su Badminton club 170 Shields Court
每场限制人数14位，从第15位开始进入waitlist！
周四晚上8⃣️点之后不可退接龙 如果有事🐦🐦 仍需付钱或转给别人 谢谢

此群费用为AA， 每场结束后算钱，费用约为10-12刀，转账邮箱： 846681622@qq.com

☀️请大家自觉按照报名人数和时间
☀️非会员要额外支付$3(直接支付给su前台)

‼️开车的朋友们请大家切记把车停在unit 1指定停车位,停在unit 2 车位有可能会被拖车

1. Helen
2. Helen +1
3. Pp
4. Huiyi +1
5. Huiyi","2023-15",0,1681084834,"2023-04-09 20:00:34",7
10,"20644756264@chatroom","wxid_5bzmf0i399e722",7975510768623085641,"49","53","接龙","#接龙
4.14 周五 SU 8-11 p.m 
打球地址: Su Badminton club 170 Shields Court
每场限制人数14位，从第15位开始进入waitlist！
周四晚上8⃣️点之后不可退接龙 如果有事🐦🐦 仍需付钱或转给别人 谢谢

此群费用为AA， 每场结束后算钱，费用约为10-12刀，转账邮箱： 846681622@qq.com

☀️请大家自觉按照报名人数和时间
☀️非会员要额外支付$3(直接支付给su前台)

‼️开车的朋友们请大家切记把车停在unit 1指定停车位,停在unit 2 车位有可能会被拖车

1. Helen
2. Helen +1
3. Pp
4. Huiyi
5. Huiyi +1
6. Ben
7. Marcus
8. Daisy","2023-15",0,1681084928,"2023-04-09 20:02:08",7
11,"20644756264@chatroom","wxid_8899118986512",2775568476233341586,"49","53","接龙","#接龙
4.14 周五 SU 8-11 p.m 
打球地址: Su Badminton club 170 Shields Court
每场限制人数14位，从第15位开始进入waitlist！
周四晚上8⃣️点之后不可退接龙 如果有事🐦🐦 仍需付钱或转给别人 谢谢

此群费用为AA， 每场结束后算钱，费用约为10-12刀，转账邮箱： 846681622@qq.com

☀️请大家自觉按照报名人数和时间
☀️非会员要额外支付$3(直接支付给su前台)

‼️开车的朋友们请大家切记把车停在unit 1指定停车位,停在unit 2 车位有可能会被拖车

1. Helen
2. Helen +1
3. Pp
4. Huiyi
5. Huiyi +1
6. Ben
7. Marcus
8. Daisy
9. ha
10. ha ha","2023-15",0,1681085039,"2023-04-09 20:03:59",7
12,"20644756264@chatroom","wxid_2900229002012",7149680254111895592,"49","53","接龙","#接龙
4.14 周五 SU 8-11 p.m 
打球地址: Su Badminton club 170 Shields Court
每场限制人数14位，从第15位开始进入waitlist！
周四晚上8⃣️点之后不可退接龙 如果有事🐦🐦 仍需付钱或转给别人 谢谢

此群费用为AA， 每场结束后算钱，费用约为10-12刀，转账邮箱： 846681622@qq.com

☀️请大家自觉按照报名人数和时间
☀️非会员要额外支付$3(直接支付给su前台)

‼️开车的朋友们请大家切记把车停在unit 1指定停车位,停在unit 2 车位有可能会被拖车

1. Helen
2. Helen +1
3. Pp
4. Huiyi +1
5. Huiyi
6. Marcus
7. Daisy
8. Ben
9. ha
10. ha ha
11. 菲尼克斯，鲲乘彀","2023-15",0,1681085047,"2023-04-09 20:04:07",7
13,"20644756264@chatroom","wxid_mwdt65arwilp11",8428227509555483666,"49","53","接龙","#接龙
4.14 周五 SU 8-11 p.m 
打球地址: Su Badminton club 170 Shields Court
每场限制人数14位，从第15位开始进入waitlist！
周四晚上8⃣️点之后不可退接龙 如果有事🐦🐦 仍需付钱或转给别人 谢谢

此群费用为AA， 每场结束后算钱，费用约为10-12刀，转账邮箱： 846681622@qq.com

☀️请大家自觉按照报名人数和时间
☀️非会员要额外支付$3(直接支付给su前台)

‼️开车的朋友们请大家切记把车停在unit 1指定停车位,停在unit 2 车位有可能会被拖车

1. Helen
2. Helen +1
3. Pp
4. Huiyi +1
5. Huiyi
6. Marcus
7. Ben
8. Daisy
9. ha ha
10. ha
11. 菲尼克斯，鲲乘彀
12. jh","2023-15",0,1681085062,"2023-04-09 20:04:22",7
14,"20644756264@chatroom","wxid_dte6ombsfijk11",1590538619980732763,"49","53","接龙","#接龙
4.14 周五 SU 8-11 p.m 
打球地址: Su Badminton club 170 Shields Court
每场限制人数14位，从第15位开始进入waitlist！
周四晚上8⃣️点之后不可退接龙 如果有事🐦🐦 仍需付钱或转给别人 谢谢

此群费用为AA， 每场结束后算钱，费用约为10-12刀，转账邮箱： 846681622@qq.com

☀️请大家自觉按照报名人数和时间
☀️非会员要额外支付$3(直接支付给su前台)

‼️开车的朋友们请大家切记把车停在unit 1指定停车位,停在unit 2 车位有可能会被拖车

1. Helen
2. Helen +1
3. Pp
4. Huiyi
5. Huiyi +1
6. Ben
7. Marcus
8. Daisy
9. ha
10. ha ha
11. 菲尼克斯，鲲乘彀
12. jh
13. Leo Wu","2023-15",0,1681085399,"2023-04-09 20:09:59",7
15,"20644756264@chatroom","wxid_dte6ombsfijk11",4500501644563229643,"49","53","接龙","#接龙
4.14 周五 SU 8-11 p.m 
打球地址: Su Badminton club 170 Shields Court
每场限制人数14位，从第15位开始进入waitlist！
周四晚上8⃣️点之后不可退接龙 如果有事🐦🐦 仍需付钱或转给别人 谢谢

此群费用为AA， 每场结束后算钱，费用约为10-12刀，转账邮箱： 846681622@qq.com

☀️请大家自觉按照报名人数和时间
☀️非会员要额外支付$3(直接支付给su前台)

‼️开车的朋友们请大家切记把车停在unit 1指定停车位,停在unit 2 车位有可能会被拖车

1. Helen
2. Helen +1
3. Pp
4. Huiyi
5. Huiyi +1
6. Ben
7. Marcus
8. Daisy
9. ha
10. ha ha
11. 菲尼克斯，鲲乘彀
12. jh
13. Leo Wu
14. Leo Wu +1","2023-15",0,1681085416,"2023-04-09 20:10:16",7
